FIR_ID,Police Station Name,District,FIR Number,Date & Time of Registration,Type of Information,Date of Occurrence,Place of Occurrence,Complainant Name,Father/Mother's Name,Age,Gender,Address,Contact Number,ID Proof Details,Accused Name,Accused Father's Name,Accused Address,IPC Sections,Nature of Offence,Complaint Body,Property Details,Action Taken,Complainant Signature,Duty Officer Name,Duty Officer Rank,Duty Officer Badge No,Priority,Date/Time,Police Station,Complainant Age,Complainant Gender,Complainant ID Type,Complainant Address,Accused Age,Accused Gender,Accused ID Type,Crime Location,IPC Section,Status,Investigating Officer,Badge ID
17.0,Ramganj PS,Jodhpur,FIR/2025/0017,07-09-2025 10:18 PM,Written,28-08-2025,inside Triton Mall,Kavita Yadav,Suresh Saini,22.0,Male,"149, Moti Dungri Road, Baran",9870291936.0,Aadhar Card,Shalini Verma,Lubna Bano,"149, Moti Dungri Road, Baran",IPC 182,drunken brawl,A case of drunken brawl was reported near inside Triton Mall.,Not applicable,Case registered and investigation taken up,Signed,SI Gopal Mali,Sub-Inspector,RJ8394,Low,,,,,,,,,,,,,,
20.0,Deeg PS,Jaisalmer,FIR/2025/0020,07-09-2025 10:18 PM,Written,22-03-2025,outside SMS Hospital emergency gate,Anil Kumar,Anjum Bano,40.0,Female,"200, Kotputli, Sirohi",9636025784.0,Aadhar Card,Unknown person(s),,,IPC 437,lost property,Valuable item went missing. No suspects identified.,Not applicable,Case registered and investigation taken up,Signed,Inspector Firoza Bano,Sub-Inspector,RJ4242,Low,,,,,,,,,,,,,,
22.0,Losal PS,Bharatpur,FIR/2025/0022,07-09-2025 10:18 PM,Written,16-12-2024,near Bapu Bazaar,Sunita Kumari,Tarun Rathore,64.0,Male,"179, C-Scheme, Kishangarh",9412085365.0,Aadhar Card,Suman Devi,Ayesha Bano,"179, C-Scheme, Kishangarh",IPC 189,public nuisance,Noise complaint received. Accused warned.,Not applicable,Case registered and investigation taken up,Signed,ASI Mohammad Rafiq,Sub-Inspector,RJ6622,Low,,,,,,,,,,,,,,
26.0,Kotputli PS,Alwar,FIR/2025/0026,07-09-2025 10:18 PM,Written,07-02-2025,outside the textile shop in Johari Bazaar,Dinesh Saini,Manish Sharma,18.0,Female,"60, Neem Ka Thana, Phalodi",9530703197.0,Aadhar Card,Tarun Rathore,Rekha Jain,"60, Neem Ka Thana, Phalodi",IPC 352,missing item,The complainant misplaced their bag.,Not applicable,Case registered and investigation taken up,Signed,SI Kiran Kumari,Sub-Inspector,RJ3387,Low,,,,,,,,,,,,,,
28.0,Jagatpura PS,Tonk,FIR/2025/0028,07-09-2025 10:18 PM,Written,06-01-2025,near Bapu Bazaar,Firoza Bano,Tarun Rathore,22.0,Male,"69, Pushkar, Jhalawar",9539063030.0,Aadhar Card,Unknown person(s),,,IPC 283,violent attack,A case of violent attack was reported near near Bapu Bazaar.,Not applicable,Case registered and investigation taken up,Signed,ASI Rekha Kumari,Sub-Inspector,RJ5504,High,,,,,,,,,,,,,,
34.0,Vigyan Nagar PS,Sikar,FIR/2025/0034,07-09-2025 10:18 PM,Written,13-09-2024,near the park in Nirman Nagar,Mahendra Rathore,Wasim Akram,50.0,Male,"1, Village Bassi, Dungarpur",9962189009.0,Aadhar Card,Firoza Bano,Rakesh Prajapat,"1, Village Bassi, Dungarpur",IPC 475,minor scuffle,A minor fight broke out. No injuries reported.,Not applicable,Case registered and investigation taken up,Signed,SI Kiran Kumari,Sub-Inspector,RJ9523,Low,,,,,,,,,,,,,,
37.0,Bani Park PS,Bikaner,FIR/2025/0037,07-09-2025 10:18 PM,Written,08-06-2025,near the mobile shop in Bani Park,Geeta Bai,Yogesh Purohit,52.0,Female,"8, Phagi, Baran",9259343503.0,Aadhar Card,Unknown person(s),,,IPC 508,land dispute,Illegal encroachment on farmland. Documents being verified.,Not applicable,Case registered and investigation taken up,Signed,Inspector Sakina Bano,Sub-Inspector,RJ8665,Medium,,,,,,,,,,,,,,
40.0,Fatehpur PS,Bharatpur,FIR/2025/0040,07-09-2025 10:18 PM,Written,08-10-2024,near the petrol pump in Vaishali Nagar,Anil Kumar,Mohammad Aslam,18.0,Female,"137, Tehsil Dudu, Chomu",9341770499.0,Aadhar Card,Unknown person(s),,,IPC 125,verbal abuse,A case of verbal abuse was reported near near the petrol pump in Vaishali Nagar.,Not applicable,Case registered and investigation taken up,Signed,SI Deepak Choudhary,Sub-Inspector,RJ8335,Medium,,,,,,,,,,,,,,
42.0,Vigyan Nagar PS,Sikar,FIR/2025/0042,07-09-2025 10:18 PM,Written,25-06-2025,outside the textile shop in Johari Bazaar,Firoza Bano,Rakesh Prajapat,54.0,Female,"106, Civil Lines, Pratapgarh",9668380492.0,Aadhar Card,Unknown person(s),,,IPC 265,online fraud,A case of online fraud was reported near outside the textile shop in Johari Bazaar.,Not applicable,Case registered and investigation taken up,Signed,SI Reema Kumari,Sub-Inspector,RJ7959,Medium,,,,,,,,,,,,,,
44.0,Gumanpura PS,Alwar,FIR/2025/0044,07-09-2025 10:18 PM,Written,21-02-2025,outside Raj Mandir Cinema,Zeenat Bano,Harish Meena,41.0,Male,"28, Vaishali Nagar, Baran",9718222239.0,Aadhar Card,Shalini Verma,Farzana Bano,"28, Vaishali Nagar, Baran",IPC 452,neighborhood dispute,Dispute between neighbors over parking space.,Not applicable,Case registered and investigation taken up,Signed,Inspector Imran Khan,Sub-Inspector,RJ8498,Low,,,,,,,,,,,,,,
45.0,Bani Park PS,Bikaner,FIR/2025/0045,07-09-2025 10:18 PM,Written,26-02-2025,outside the textile shop in Johari Bazaar,Nagma Bano,Mukesh Kumawat,33.0,Female,"174, Indira Nagar, Karauli",9158997686.0,Aadhar Card,Mohammad Aslam,Sanjay Rathore,"174, Indira Nagar, Karauli",IPC 493,homicide,A case of homicide was reported near outside the textile shop in Johari Bazaar.,Not applicable,Case registered and investigation taken up,Signed,Inspector Rajesh Yadav,Sub-Inspector,RJ7599,High,,,,,,,,,,,,,,
51.0,Gumanpura PS,Jaisalmer,FIR/2025/0051,07-09-2025 10:18 PM,Written,11-05-2025,near the park in Nirman Nagar,Vikas Dangi,Kanchan Devi,44.0,Female,"158, Chaksu, Chomu",9734685523.0,Aadhar Card,Dinesh Saini,Nazma Bano,"158, Chaksu, Chomu",IPC 402,grievous hurt,A case of grievous hurt was reported near near the park in Nirman Nagar.,Not applicable,Case registered and investigation taken up,Signed,SI Priya Choudhary,Sub-Inspector,RJ1797,High,,,,,,,,,,,,,,
55.0,Kumher PS,Chittorgarh,FIR/2025/0055,07-09-2025 10:18 PM,Written,24-04-2025,at the hospital gate in Durgapura,Shabnam Begum,Anil Kumar,57.0,Female,"69, Losal, Makrana",9917519360.0,Aadhar Card,Unknown person(s),,,IPC 378,road mishap,A case of road mishap was reported near at the hospital gate in Durgapura.,Not applicable,Case registered and investigation taken up,Signed,ASI Rekha Kumari,Sub-Inspector,RJ9076,Medium,,,,,,,,,,,,,,
56.0,Kalwar Road PS,Bharatpur,FIR/2025/0056,07-09-2025 10:18 PM,Written,19-10-2024,at the village chowk in Chaksu,Narendra Dangi,Poonam Kumari,38.0,Male,"76, C-Scheme, Karauli",9263528866.0,Aadhar Card,Ayesha Bano,Harish Meena,"76, C-Scheme, Karauli",IPC 489,digital theft,A case of digital theft was reported near at the village chowk in Chaksu.,Not applicable,Case registered and investigation taken up,Signed,SI Deepak Choudhary,Sub-Inspector,RJ1571,Medium,,,,,,,,,,,,,,
59.0,Bharatpur PS,Dausa,FIR/2025/0059,07-09-2025 10:18 PM,Written,24-04-2025,at Sindhi Camp Bus Stand,Sakina Bano,Salman Khan,57.0,Male,"24, Malviya Nagar, Balotra",9792713024.0,Aadhar Card,Unknown person(s),,,IPC 308,encroachment,A case of encroachment was reported near at Sindhi Camp Bus Stand.,Not applicable,Case registered and investigation taken up,Signed,Inspector Kusum Lata,Sub-Inspector,RJ6459,Medium,,,,,,,,,,,,,,
67.0,Vigyan Nagar PS,Jhunjhunu,FIR/2025/0067,07-09-2025 10:18 PM,Written,26-02-2025,near the farm fields in Sanganer outskirts,Anita Kumari,Yogesh Purohit,52.0,Male,"34, Pushkar, Nathdwara",9788899517.0,Aadhar Card,Pushpa Devi,Wasim Akram,"34, Pushkar, Nathdwara",IPC 184,homicide,A case of homicide was reported near near the farm fields in Sanganer outskirts.,Not applicable,Case registered and investigation taken up,Signed,SI Rani Bai,Sub-Inspector,RJ8653,High,,,,,,,,,,,,,,
68.0,Khandela PS,Jhunjhunu,FIR/2025/0068,07-09-2025 10:18 PM,Written,19-02-2025,at the police outpost in Ajmer,Arif Khan,Babita Kumari,46.0,Female,"14, Pushkar, Abu Road",9825930626.0,Aadhar Card,Javed Ali,Rukhsar Khan,"14, Pushkar, Abu Road",IPC 454,verbal abuse,A case of verbal abuse was reported near at the police outpost in Ajmer.,Not applicable,Case registered and investigation taken up,Signed,ASI Javed Ali,Sub-Inspector,RJ8308,Medium,,,,,,,,,,,,,,
69.0,Bayana PS,Bikaner,FIR/2025/0069,07-09-2025 10:18 PM,Written,04-12-2024,at the village chowk in Chaksu,Mahendra Rathore,Poonam Kumari,18.0,Male,"99, Sodala, Sirohi",9216962716.0,Aadhar Card,Unknown person(s),,,IPC 233,public nuisance,Drunken brawl reported. Crowd dispersed.,Not applicable,Case registered and investigation taken up,Signed,Inspector Suman Sharma,Sub-Inspector,RJ7788,Low,,,,,,,,,,,,,,
70.0,Gogunda PS,Ajmer,FIR/2025/0070,07-09-2025 10:18 PM,Written,17-10-2024,near the railway station in Bharatpur,Shabana Bano,Farzana Bano,35.0,Female,"120, Bani Park, Sri Ganganagar",9276220801.0,Aadhar Card,Vikram Choudhary,Gita Bai,"120, Bani Park, Sri Ganganagar",IPC 190,serious assault,"A violent altercation occurred, resulting in serious injuries.",Not applicable,Case registered and investigation taken up,Signed,ASI Shahrukh Khan,Sub-Inspector,RJ9635,High,,,,,,,,,,,,,,
71.0,Gumanpura PS,Kota,FIR/2025/0071,07-09-2025 10:18 PM,Written,29-10-2024,at the dhaba on Jaipur-Agra highway,Karan Bishnoi,Lokesh Kumawat,51.0,Male,"177, Laxmi Colony, Balotra",9770582833.0,Aadhar Card,Unknown person(s),,,IPC 132,burglary,Burglary reported. Entry was forced through the rear door.,Not applicable,Case registered and investigation taken up,Signed,SI Saira Begum,Sub-Inspector,RJ3642,Medium,,,,,,,,,,,,,,
72.0,Bayana PS,Alwar,FIR/2025/0072,07-09-2025 10:18 PM,Written,01-10-2024,near the dairy booth in Pratap Nagar,Nawaz Khan,Sanjay Rathore,52.0,Male,"165, Bani Park, Jaisalmer",9939542233.0,Aadhar Card,Unknown person(s),,,IPC 194,small altercation,A case of small altercation was reported near near the dairy booth in Pratap Nagar.,Not applicable,Case registered and investigation taken up,Signed,SI Pooja Rathore,Sub-Inspector,RJ2697,Low,,,,,,,,,,,,,,
73.0,Khairthal PS,Bharatpur,FIR/2025/0073,07-09-2025 10:18 PM,Written,24-12-2024,at the temple gate in Amer,Yogesh Purohit,Rakesh Prajapat,21.0,Male,"149, Sodala, Jalore",9752941230.0,Aadhar Card,Unknown person(s),,,IPC 458,robbery with weapon,A case of robbery with weapon was reported near at the temple gate in Amer.,Not applicable,Case registered and investigation taken up,Signed,Inspector Pinki Kumari,Sub-Inspector,RJ3349,High,,,,,,,,,,,,,,
74.0,Tijara PS,Tonk,FIR/2025/0074,07-09-2025 10:18 PM,Written,25-06-2025,near Bapu Bazaar,Anita Kumari,Rohit Gurjar,23.0,Female,"120, Tehsil Dudu, Bhiwadi",9758226525.0,Aadhar Card,Tushar Meena,Bhupendra Jat,"120, Tehsil Dudu, Bhiwadi",IPC 477,misplacement,A case of misplacement was reported near near Bapu Bazaar.,Not applicable,Case registered and investigation taken up,Signed,SI Priya Choudhary,Sub-Inspector,RJ9425,Low,,,,,,,,,,,,,,
75.0,Gumanpura PS,Barmer,FIR/2025/0075,07-09-2025 10:18 PM,Written,06-08-2025,near the railway station in Bharatpur,Zahid Khan,Ajay Nagar,23.0,Male,"187, Rajendra Vihar, Hanumangarh",9941310000.0,Aadhar Card,Unknown person(s),,,IPC 346,sexual assault,A case of sexual assault was reported near near the railway station in Bharatpur.,Not applicable,Case registered and investigation taken up,Signed,ASI Yogesh Purohit,Sub-Inspector,RJ5170,High,,,,,,,,,,,,,,
78.0,Tijara PS,Jhunjhunu,FIR/2025/0078,07-09-2025 10:18 PM,Written,03-03-2025,outside the Panchayat Bhawan in Kalwad,Aman Khan,Archana Kumari,34.0,Female,"135, Kalwad, Makrana",9909494120.0,Aadhar Card,Unknown person(s),,,IPC 359,serious assault,The complainant was severely beaten. Medical aid was provided.,Not applicable,Case registered and investigation taken up,Signed,Inspector Nisha Kumari,Sub-Inspector,RJ9363,High,,,,,,,,,,,,,,
83.0,Gumanpura PS,Sikar,FIR/2025/0083,07-09-2025 10:18 PM,Written,23-07-2025,at the market square in Tonk Phatak,Nazma Bano,Salman Khan,19.0,Male,"114, Moti Dungri Road, Abu Road",9607600714.0,Aadhar Card,Rajesh Solanki,Nisha Kumari,"114, Moti Dungri Road, Abu Road",IPC 406,deception,A case of deception was reported near at the market square in Tonk Phatak.,Not applicable,Case registered and investigation taken up,Signed,SI Kavita Meena,Sub-Inspector,RJ7785,Medium,,,,,,,,,,,,,,
86.0,Dudu PS,Bharatpur,FIR/2025/0086,07-09-2025 10:18 PM,Written,18-03-2025,at the railway crossing in Jagatpura,Wasim Akram,Priya Choudhary,57.0,Male,"171, Chaksu, Karauli",9715939766.0,Aadhar Card,Nagma Bano,Zahid Khan,"171, Chaksu, Karauli",IPC 481,online fraud,A case of online fraud was reported near at the railway crossing in Jagatpura.,Not applicable,Case registered and investigation taken up,Signed,ASI Mohammad Rafiq,Sub-Inspector,RJ2926,Medium,,,,,,,,,,,,,,
87.0,Bassi PS,Jaisalmer,FIR/2025/0087,07-09-2025 10:18 PM,Written,02-10-2024,near the farm fields in Sanganer outskirts,Vikas Dangi,Iqbal Hussain,37.0,Female,"169, C-Scheme, Jhalawar",9792755675.0,Aadhar Card,Unknown person(s),,,IPC 279,noise complaint,A case of noise complaint was reported near near the farm fields in Sanganer outskirts.,Not applicable,Case registered and investigation taken up,Signed,ASI Rekha Kumari,Sub-Inspector,RJ9603,Low,,,,,,,,,,,,,,
88.0,Talwandi PS,Sikar,FIR/2025/0088,07-09-2025 10:18 PM,Written,16-09-2024,outside the hospital in Alwar,Narendra Dangi,Shabana Bano,55.0,Male,"196, Pushkar, Bundi",9926954594.0,Aadhar Card,Unknown person(s),,,IPC 365,verbal abuse,A case of verbal abuse was reported near outside the hospital in Alwar.,Not applicable,Case registered and investigation taken up,Signed,Inspector Kusum Lata,Sub-Inspector,RJ1431,Medium,,,,,,,,,,,,,,
90.0,Neem Ka Thana PS,Bharatpur,FIR/2025/0090,07-09-2025 10:18 PM,Written,07-10-2024,outside the textile shop in Johari Bazaar,Nisha Kumari,Kiran Kumari,18.0,Male,"23, Neem Ka Thana, Abu Road",9807083148.0,Aadhar Card,Tushar Meena,Nazma Bano,"23, Neem Ka Thana, Abu Road",IPC 296,cybercrime,The complainant's social media account was hacked.,Not applicable,Case registered and investigation taken up,Signed,SI Rani Bai,Sub-Inspector,RJ8210,Medium,,,,,,,,,,,,,,
93.0,Nadbai PS,Jodhpur,FIR/2025/0093,07-09-2025 10:18 PM,Written,09-05-2025,outside the coaching center in Gopalpura,Lubna Bano,Narendra Dangi,59.0,Female,"160, Laxmi Colony, Tonk",9953953419.0,Aadhar Card,Unknown person(s),,,IPC 499,housebreaking,A case of housebreaking was reported near outside the coaching center in Gopalpura.,Not applicable,Case registered and investigation taken up,Signed,Inspector Salman Khan,Sub-Inspector,RJ6317,Medium,,,,,,,,,,,,,,
102.0,Sodala PS,Alwar,FIR/2025/0102,07-09-2025 10:18 PM,Written,27-04-2025,near the petrol pump in Vaishali Nagar,Suman Devi,Babita Kumari,42.0,Male,"122, Kishangarh, Beawar",9557030910.0,Aadhar Card,Chanda Devi,Rani Bai,"122, Kishangarh, Beawar",IPC 487,small altercation,A case of small altercation was reported near near the petrol pump in Vaishali Nagar.,Not applicable,Case registered and investigation taken up,Signed,Inspector Kusum Lata,Sub-Inspector,RJ2596,Low,,,,,,,,,,,,,,
103.0,Bassi PS,Jaipur,FIR/2025/0103,07-09-2025 10:18 PM,Written,25-11-2024,near MI Road crossing,Sarita Kumari,Rani Bai,32.0,Male,"11, Gandhi Path, Bundi",9908747379.0,Aadhar Card,Unknown person(s),,,IPC 235,verbal fight,A case of verbal fight was reported near near MI Road crossing.,Not applicable,Case registered and investigation taken up,Signed,ASI Wasim Akram,Sub-Inspector,RJ1810,Low,,,,,,,,,,,,,,
105.0,Bhiwadi PS,Pali,FIR/2025/0105,07-09-2025 10:18 PM,Written,18-12-2024,at the petrol station in Bhankrota,Mukesh Kumawat,Faizan Khan,20.0,Female,"53, Rajendra Vihar, Pratapgarh",9742915213.0,Aadhar Card,Unknown person(s),,,IPC 231,gunpoint theft,A case of gunpoint theft was reported near at the petrol station in Bhankrota.,Not applicable,Case registered and investigation taken up,Signed,Inspector Farzana Bano,Sub-Inspector,RJ4751,High,,,,,,,,,,,,,,
107.0,Lalkothi PS,Pali,FIR/2025/0107,07-09-2025 10:18 PM,Written,20-01-2025,outside the Panchayat Bhawan in Kalwad,Shabana Bano,Suman Devi,54.0,Female,"93, Sodala, Churu",9682051315.0,Aadhar Card,Gita Bai,Aman Khan,"93, Sodala, Churu",IPC 380,terrorism,Locals reported extremist behavior. Investigation initiated.,Not applicable,Case registered and investigation taken up,Signed,Inspector Ashok Kumawat,Sub-Inspector,RJ1665,High,,,,,,,,,,,,,,
113.0,Phagi PS,Alwar,FIR/2025/0113,07-09-2025 10:18 PM,Written,03-04-2025,at the toll plaza on NH-8,Pinki Kumari,Karan Bishnoi,38.0,Female,"103, Malviya Nagar, Bharatpur",9197895268.0,Aadhar Card,Unknown person(s),,,IPC 408,online fraud,A case of online fraud was reported near at the toll plaza on NH-8.,Not applicable,Case registered and investigation taken up,Signed,ASI Rekha Kumari,Sub-Inspector,RJ9965,Medium,,,,,,,,,,,,,,
115.0,Talwandi PS,Pali,FIR/2025/0115,07-09-2025 10:18 PM,Written,23-08-2025,near the railway station in Bharatpur,Wasim Akram,Javed Ali,24.0,Male,"89, Subhash Chowk, Banswara",9526285751.0,Aadhar Card,Ayesha Bano,Dinesh Saini,"89, Subhash Chowk, Banswara",IPC 262,break-in,A case of break-in was reported near near the railway station in Bharatpur.,Not applicable,Case registered and investigation taken up,Signed,Inspector Neha Solanki,Sub-Inspector,RJ7476,Medium,,,,,,,,,,,,,,
117.0,Bharatpur PS,Sikar,FIR/2025/0117,07-09-2025 10:18 PM,Written,08-11-2024,outside the cyber café in Sodala,Rahul Dudi,Bhupendra Jat,33.0,Female,"79, Pushkar, Bhilwara",9283848056.0,Aadhar Card,Unknown person(s),,,IPC 449,missing belongings,A case of missing belongings was reported near outside the cyber café in Sodala.,Not applicable,Case registered and investigation taken up,Signed,SI Zeenat Bano,Sub-Inspector,RJ4417,Low,,,,,,,,,,,,,,
120.0,Bhiwadi PS,Alwar,FIR/2025/0120,07-09-2025 10:18 PM,Written,10-11-2024,at the footbridge near Tonk Road,Kanchan Devi,Karan Bishnoi,50.0,Female,"163, Rajendra Vihar, Dholpur",9309679347.0,Aadhar Card,Unknown person(s),,,IPC 487,manslaughter,A case of manslaughter was reported near at the footbridge near Tonk Road.,Not applicable,Case registered and investigation taken up,Signed,Inspector Chanda Devi,Sub-Inspector,RJ1157,High,,,,,,,,,,,,,,
121.0,Bayana PS,Bikaner,FIR/2025/0121,07-09-2025 10:18 PM,Written,21-06-2025,at the ATM near Lalkothi,Kishan Suthar,Imran Khan,55.0,Female,"172, Moti Dungri Road, Chomu",9483341108.0,Aadhar Card,Priya Choudhary,Nagma Bano,"172, Moti Dungri Road, Chomu",IPC 412,kidnapping,A minor was abducted. The family suspects known individuals.,Not applicable,Case registered and investigation taken up,Signed,Inspector Manish Sharma,Sub-Inspector,RJ8740,High,,,,,,,,,,,,,,
128.0,Dausa PS,Bharatpur,FIR/2025/0128,07-09-2025 10:18 PM,Written,29-11-2024,at the footbridge near Tonk Road,Kanchan Devi,Ayesha Bano,64.0,Female,"44, Bagru, Nagaur",9234684052.0,Aadhar Card,Kanchan Devi,Rukhsar Khan,"44, Bagru, Nagaur",IPC 316,misplacement,A case of misplacement was reported near at the footbridge near Tonk Road.,Not applicable,Case registered and investigation taken up,Signed,SI Laxmi Bai,Sub-Inspector,RJ6408,Low,,,,,,,,,,,,,,
130.0,Dudu PS,Chittorgarh,FIR/2025/0130,07-09-2025 10:18 PM,Written,13-09-2024,outside the cyber café in Sodala,Lokesh Kumawat,Gita Bai,37.0,Female,"174, Civil Lines, Nathdwara",9671047309.0,Aadhar Card,Unknown person(s),,,IPC 253,drunken brawl,A case of drunken brawl was reported near outside the cyber café in Sodala.,Not applicable,Case registered and investigation taken up,Signed,Inspector Rahul Dudi,Sub-Inspector,RJ2330,Low,,,,,,,,,,,,,,
131.0,Jagatpura PS,Dausa,FIR/2025/0131,07-09-2025 10:18 PM,Written,21-06-2025,at the junction near Chandpole,Ravi Meena,Firoza Bano,28.0,Male,"52, Vaishali Nagar, Rajsamand",9917544222.0,Aadhar Card,Unknown person(s),,,IPC 352,break-in,A case of break-in was reported near at the junction near Chandpole.,Not applicable,Case registered and investigation taken up,Signed,SI Pooja Rathore,Sub-Inspector,RJ7950,Medium,,,,,,,,,,,,,,
136.0,Jagatpura PS,Kota,FIR/2025/0136,07-09-2025 10:18 PM,Written,25-05-2025,near MI Road crossing,Rajendra Singh,Babita Kumari,58.0,Male,"148, Losal, Udaipur",9424612822.0,Aadhar Card,Unknown person(s),,,IPC 432,homicide,A case of homicide was reported near near MI Road crossing.,Not applicable,Case registered and investigation taken up,Signed,SI Kiran Kumari,Sub-Inspector,RJ4757,High,,,,,,,,,,,,,,
138.0,Beawar PS,Bikaner,FIR/2025/0138,07-09-2025 10:18 PM,Written,27-08-2025,outside the school in Bagru,Sakina Bano,Yogesh Purohit,29.0,Female,"153, Indira Nagar, Jaisalmer",9408079920.0,Aadhar Card,Iqbal Hussain,Zeenat Bano,"153, Indira Nagar, Jaisalmer",IPC 503,burglary,Burglary reported. Entry was forced through the rear door.,Not applicable,Case registered and investigation taken up,Signed,SI Anjum Bano,Sub-Inspector,RJ9272,Medium,,,,,,,,,,,,,,
